scenario,job1,job2,profile1,profile2,comm_vol_1,comm_vol_2,topology,placement_policy,network_congestion_ms,job_completion_time_s,sla_compliance
0,Operator,T5base,D,B,13.570206934638367,9.389306250521887,Dragonfly,CommAware,73.99520646100069,2263.767293143917,1
1,TabNet,ResNet152,C,A,7.628486157323367,0.5245991883601897,Ring,Random,45.09560932988243,1664.9474787844192,1
2,CatBoost,EfficientNetLite,C,C,5.091111660303755,2.28104330313003,Mesh4D,FIFO,75.48222540475665,1838.373553554555,1
3,ExaNN,ELECTRA,D,B,7.4658922590845,9.63814055830265,Ring,FIFO,171.19744015518896,3361.28426822066,0
4,ResNet152,InceptionV3,A,A,0.17927321684337577,0.28849924588199993,HyperX,Random,48.99680655040598,1744.5002413949603,1
5,LightGBM,ExaNN,C,D,11.153961898721878,7.641161427837,Mesh4D,TopoAware,66.31763524717722,1803.0876965343473,1
6,VGG16,ResNet101,A,A,0.12178687414534248,0.40546514751899615,Ring,FIFO,51.50832876588146,1659.9409449742116,1
7,TinyBERT,GPT3small,C,B,2.5343776410735974,6.989340269395645,Ring,TopoAware,72.56596624730012,2184.545457526635,1
8,TabNet,DeepCAM,C,D,5.560095211814103,5.607397014382283,FatTree,CommAware,31.782900383203575,1513.7472938348205,1
9,CosmoFlow,InceptionV3,D,A,12.082635082681659,0.14103483931155858,FatTree,CommAware,37.05292200385551,1737.525067980982,1
10,MobileNet,ExaNN,A,D,1.409011213448766,4.948246925190001,FatTree,CommAware,39.74470642716196,1519.8776343116701,1
11,MobileNetEdge,DeepFM,C,C,4.791625073423111,11.126748807393279,Dragonfly,TopoAware,65.63981766877895,2119.460099603179,1
12,DeepCAM,GPT3small,D,B,7.193919547353124,4.56603883931372,Dragonfly,Random,174.59641487863877,3218.0485776150526,0
13,MobileNetV2,MobileNetV2,C,C,2.8941892901134914,5.545179061883558,Mesh4D,FIFO,64.30701768492222,2002.9579145738332,1
14,GPT2,MobileNetV2,B,C,9.418961337347826,7.3992766183526655,Dragonfly,TopoAware,66.85724165762403,2195.5387301244023,1
15,EfficientNet,ExaNN,A,D,0.11697826324935806,7.857840344488419,Mesh4D,CommAware,44.65931066774888,1761.3071465019455,1
16,ExaNN,CosmoFlow,D,D,5.593282710253918,13.928137879951946,Ring,Random,217.64847522719464,3650.8472565261854,0
17,HydroNet,BERTbase,D,B,14.254783040098973,10.035650302651572,Ring,Random,194.66969689884786,3384.63875839302,0
18,MobileNetV2,MobileNetV2,C,C,4.172688733561976,7.639157871509475,FatTree,CommAware,21.006143923504794,1448.8653852534799,1
19,DLRM,ResNet101,C,A,9.573715528499758,0.2753909089064751,Clos,CommAware,12.638195176094388,1385.6240905137388,1
20,ResNet101,DeepCAM,A,D,0.41671352574572706,4.89511464111441,Ring,CommAware,36.59061524683281,1547.8111551908323,1
21,TabNet,MobileNet,C,A,5.711119351337099,1.5643944313345652,Mesh4D,FIFO,28.64731837434656,1470.915136177281,1
22,Operator,ResNet152,D,A,14.146219841448662,0.15746452301753527,Mesh4D,CommAware,30.04668284466934,1569.4765815755186,1
23,MobileNetV2,InceptionV3,C,A,6.038345107184056,0.1620154529176209,Mesh4D,Random,38.08373353831882,1612.5333458731343,1
24,DistBERT,InceptionResNet,C,C,3.5702672779763867,2.93095453119741,Ring,FIFO,82.73729967302066,2431.7113332809736,1
25,ResNet101,ResNet50,A,A,0.4012320541231939,1.0943727088704056,Ring,CommAware,28.19301377214137,1429.7861193564347,1
