Profile_Pair,Random_Congestion,FIFO_Congestion,TopoAware_Congestion,CommAware_Congestion,Random_SLA,CommAware_SLA,Sample_Size
A-A,66.32208130336467,51.50832876588146,40.07757986622256,28.40217450105738,100.0,100.0,19
A-B,87.4433618672705,64.13791478571774,53.223448844505675,27.843468625859835,100.0,100.0,23
A-C,38.12733461625228,33.08870386482739,23.02201050058512,15.901560365605638,100.0,100.0,39
A-D,88.528025119763,70.69682045683736,59.98203373083466,38.27688314436671,66.66666666666666,100.0,23
B-A,78.29834102987206,69.17163560686699,46.17032359827343,20.618041554164666,100.0,100.0,23
B-B,167.52247880700503,,107.2235402207702,62.483186340620406,0.0,100.0,18
B-C,84.2039861952375,70.842867602226,57.83908913529289,37.673873031877065,80.0,100.0,44
B-D,153.8728776785518,129.47124201754227,94.60423480089214,65.21814719817523,0.0,100.0,23
C-A,40.56298306183409,32.3191338230112,24.237813148896965,14.988569089947143,100.0,100.0,43
C-B,89.02895120512575,69.53455702510342,57.9161873737078,37.90713202353234,77.77777777777779,100.0,50
C-C,84.03190406892404,65.522463175555,54.573916278952765,31.45500581481645,92.3076923076923,100.0,94
C-D,94.0083839298039,74.72777510689974,62.40679057613741,37.29369279151144,70.0,100.0,36
D-A,73.25674072717555,65.44609953385729,53.74419494192049,36.487999386771655,100.0,100.0,21
D-B,154.53245940576755,146.33793015243077,122.72418116540842,68.94137316287942,0.0,100.0,17
D-C,108.07337331140019,84.94353571980034,72.14456579531821,41.086541906739924,22.22222222222222,100.0,34
D-D,188.5272685442813,136.75979723413525,110.51378326932108,82.53935692247224,0.0,100.0,13
